description,type,status,steward,ushe_element,ushe_rule,ushe_file,ushe_field,ushe_notes,ushe_sql,banner,activity_date,edify
Graduation hours 1.5 times required hours,USHE,Warning,,"G13, G14","G13b, G14b",Graduation,"g_grad_hrs, g_hrs_other",G_Grad_HRS seems excessive when over 1.5 * g_req_hrs_deg,"Into #g13b
From graduation_ext'+@year+'
Where (cast(g_req_hrs_deg as float) * 1.5) < cast(g_grad_hrs as float)
and g_inst = @ginst
Order by g_banner_id",(sum(shrtgpa_hours_earned),shrtgpa_activity_date,"Add overall_cumulative_credits_earned to student_term_level = institutional_cumulative_credits_earned + transfer_cumulative_credits_earned
Add remedial_cumulative_earned_credits to student_term_level"
Remedial hours over 60,USHE,Warning,,G15,G15b,Graduation,g_remedial_hrs,G_Remedial_HRS seems excessive when over 60,"Into #g15b
From graduation_ext'+@year+'
Where cast(g_remedial_hrs as float) > ''60.0''
and g_inst = @ginst
Order by g_banner_id","banner.ssbsect_crse_numb, (sum(shrtckg_credit_hours)",ssbsect_activity_date,See Above: Add transfer_cumulative_credits_attempted_other_sources to student_degree_program_application
Invalid Required hours for a degree,Database,Failure,,G18,G18a,Graduation,g_req_hrs_deg,Req HRS Deg Invalid,"Into #g18a
From graduation_ext'+@year+'
Where (g_req_hrs_deg = ''''
or len(g_req_hrs_deg) > ''3''
or g_req_hrs_deg like ''%.%''
or cast(g_req_hrs_deg as float) < ''0''
or g_req_hrs_deg like ''%[^0-9]%'' )
and g_remedial_hrs <> ''0''
and g_inst = @ginst
Order by g_banner_id",gorsdav_value,gorsdav_activity_date,academic_programs.required_credits
Missing HS code when county origin is in Utah,Database,Failure,,G19,G19a,Graduation,g_high_school,Invalid UT HS ACT Code,"into #g19a
FROM graduation_ext'+@year+'
WHERE (g_high_school IS NULL OR g_high_school NOT IN (SELECT distinct hs_act_code FROM reference.dbo.highschools))
and g_county_origin not in(''UT030'',''UT097'',''UT099'')
and g_ipeds in (''3'',''5'')
and g_inst = @ginst
Order by g_banner_id",,n/a,
duplicate graduation records,Database,Failure,,G21,G21d,Graduation,"g_banner_id, g_date, g_cip, g_deg_type, g_ipeds, g_major",check for duplicate graduation records.,"SELECT count(g_banner_id) as records, g_inst, g_id, g_banner_id, g_date, g_cip, g_deg_type, g_ipeds, g_major
into #g21check
FROM graduation_ext'+@year+'
WHERE g_fis_year = '+@year+'
and g_inst = @ginst
GROUP BY g_inst, g_id, g_banner_id, g_date, g_cip, g_deg_type, g_ipeds, g_major
HAVING count(g_banner_id)>1
order by g_banner_id, G_CIP",,n/a,"degrees_awarded.student_id, degrees_awarded.graduation_date, major.cip, degrees_awarded.degree_id, academic_programs.ipeds_award_level_code, degrees_awarded.primary_major_id"
Missing or incorrect year,Database,Failure,,G24,G24a,Graduation,g_fis_year,,"into #g24a
from graduation_ext'+@year+'
WHERE (G_FIS_YEAR IS NULL or g_fis_year != '+@year+')
and g_inst = @ginst",shrdgmr_acyr_code,shrdgmr_activity_date,"Add graduated_academic_year_code to quad.student_degree_program_application
Add graduated_academic_year_desc to student_degree_program_application"
invalid term,Database,Failure,,G25,G25a,Graduation,g_term,G_Term Invalid,"into #g25a
from graduation_ext'+@year+'
WHERE (G_term IS NULL or g_term not in (''1'',''2'',''3''))
and g_inst = @ginst
Order by g_banner_id",shrdgmr_term_code_grad,shrdgmr_activity_date,term.season
missing degree type name,Database,Failure,,G28,G28a,Graduation,g_deg_type_name,g_deg_type_name not found,"into #g28a
from graduation_ext'+@year+'
where (g_deg_type_name is null or g_deg_type_name in ('''',''0''))
and g_inst = @ginst
Order by g_banner_id","banner.stvdegc_desc, banner.shrdgmr_degc_code",shrdgmr_activity_date,degrees_awarded.degree_desc
Missing course subject (prefix),Database,Failure,,SC04,SC04a,Student Course,sc_crs_sbj,Missing Course Subject,"INTO #sc04a
FROM student_courses_' + @extract + '
WHERE sc_instance = @instance
AND sc_inst = @inst
AND (sc_crs_sbj is null or sc_crs_sbj = '''')
Order by sc_crs_num, sc_crs_sec",banner.ssbsect_subj_code,ssbsect_activity_date,student_section.subject_code
missing course number,Database,Failure,,SC05,SC05a,Student Course,sc_crs_num,Missing Course Number,"INTO #sc05a
FROM student_courses_' + @extract + '
WHERE sc_instance = @instance
AND sc_inst = @inst
AND(sc_crs_num is null or sc_crs_num = '''')
Order by sc_crs_sbj, sc_crs_sec",banner.ssbsesct_crse_numb,ssbsect_activity_date,student_section.course_number
missing course section,Database,Failure,,SC06,SC0ca,Student Course,sc_crs_sec,Missing Course Section,"INTO #sc06a
FROM student_courses_' + @extract + '
WHERE sc_instance = @instance
AND sc_inst = @inst
AND (sc_crs_sec is null or sc_crs_sec = '''')
Order by sc_crs_sbj, sc_crs_num",banner.ssbsesct_seq_numb,ssbsect_activity_date,student_section.section_number
invalid earned credit hours based on grade,Database,Failure,,SC08,SC08b,Student Course,sc_earned_cr,Earned Credit. These grade types should not have any earned credit.,"INTO #sc08b
FROM student_courses_' + @extract + '
WHERE sc_grade IN (''CW'',''L'',''NG'',''E'',''F'',''UW'',''I'', ''IP'',''NC'',''AU'',''W'')
AND cast(sc_earned_cr as float) > 0
AND sc_instance = @instance
and sc_inst = @inst
Order by sc_banner_id",banner.shrtckg_credit_hours,shrtckg_activity_date,student_section.earned_credits
"earned credit hours is missing, but have a grade",Database,Failure,,SC08,SC08c,Student Course,sc_earned_cr,Earned Credit. Checking to see those who have grades but earned credit is null,"INTO #sc08c
FROM student_courses_' + @extract + '
WHERE sc_earned_cr IS NULL
and sc_grade not in (NULL, ''IP'')
AND sc_instance = @instance
and sc_inst = @inst
Order by sc_banner_id",banner.shrtckg_credit_hours,shrtckg_activity_date,student_section.earned_credits
"At end of term, earned credit hours should match attempted credit hours (when a passing grade)",Database,Failure,,SC08,SC08d,Student Course,sc_earned_cr,Earned Credit. Earned Credits should match sc_att_cr,"INTO #sc08d
FROM student_courses_' + @extract + '
WHERE SC_GRADE IN (''A'',''A-'',''B+'',''B'',''B-'',''C+'',''C'',''C-'',''D+'',''D'',''D-'',''CR'',''SP'',''P'',''NG'',''T'')
and sc_extract = ''e''
and cast(sc_earned_cr as float) <> cast(sc_att_cr as float)
AND sc_instance = @instance
and sc_inst = @inst
Order by sc_banner_id",banner.shrtckg_credit_hours,shrtckg_activity_date,student_section.earned_credits
invalid grade,Database,Failure,,SC10,SC10a,Student Course,sc_grade,Course Grade. Checking for invalid values in sc_grade where credit is given with an invalid/no grade. Do you have a grade for these courses?,"INTO #sc10a
FROM student_courses_' + @extract + ', courses_' + @extract + '
WHERE sc_grade NOT IN (SELECT DISTINCT grade_code
FROM reference.dbo.grade
WHERE grade_code IS NOT NULL and Inactive =''N'')
AND sc_c_key = c_key
--AND ((right(c_end_date,4)>700 AND right(c_end_date,4)<1232 AND c_term<=2)
-- OR (right(c_end_date,4)<600 AND c_term=3))
AND sc_instance = @instance
and sc_inst = @inst
GROUP BY SC_GRADE, sc_banner_id, SC_INST, sc_crs_sbj, sc_crs_num, sc_crs_sec, c_budget_code, c_end_date
HAVING sum(cast(sc_att_cr as float)) != 0
Order by sc_banner_id",banner.shrtckg_grde_code_final,shrtckg_activity_date,student_section.final_grade
missing concurrent enrollment grades,USHE,Failure,,SC10,SC10b,Student Course,sc_grade,Missing Conc Enroll Grade,"into #sc10b
FROM student_courses_' + @extract + ', courses_' + @extract + '
WHERE sc_instance = @instance
and sc_inst = @inst
AND sc_student_type in (''CC'',''DC'')
AND (sc_grade is null or sc_grade in ('''',''IP'',''I''))
AND sc_extract = ''E''
Order by sc_banner_id",banner.shrtckg_grde_code_final,shrtckg_activity_date,student_section.final_grade
invalid concurrent enrollment grade,USHE,Failure,,SC10,SC10c,Student Course,sc_grade,Invalid Conc Enroll Grade,"into #sc10C
FROM student_courses_' + @extract + ', courses_' + @extract + '
WHERE sc_instance = @instance
and sc_inst = @inst
AND sc_student_type in (''CC'',''DC'')
AND (sc_grade is null or sc_grade in ('''',''IP'',''I''))
AND ((right(c_end_date,4)>700 AND right(c_end_date,4)<1232 AND c_term<=2)
OR (right(c_end_date,4)<600 AND c_term=3))
AND sc_extract = ''E''
Order by sc_banner_id",banner.shrtckg_grde_code_final,shrtckg_activity_date,student_section.final_grade
Invaild student type codes (concurrent enrollment),USHE,Failure,,SC12,SC12a,Student Course,sc_student_type,Student Type. Checks for valid student type codes.,"INTO #sc12a
FROM student_courses_' + @extract + '
WHERE SC_STUDENT_TYPE NOT IN (''UC'',''CC'',''EC'',''DC'','''',NULL)
AND sc_instance = @instance
and sc_inst = @inst
Order by sc_banner_id","sgbstdn_styp_code, sorhsch_sgbi_code, ssrsccd_sccd_code, Concurrent course Master list","sgbstdn_activity_date, sorhsch_activity_date, ssrsccd_activity_date","student.latest_student_type_code,
student_section.section_number
student_section.subject_code
student_section.course_number
term.season
add latest_high_school_code to quad.student
add budget_code to quad.course"
Student type and HS code alignment (concurrent students only in Utah High schools),USHE,Failure,,SC12,SC12b,Student Course,sc_student_type,"Student Type. These students are listed as concurrent enrollment, but they attend a non-qualifying high school. Either an out-of-state OR adult high school, OR they are home schooled.","INTO #sc12b
FROM students_' + @extract + ', student_courses_' + @extract + ', courses_' + @extract + '
WHERE s_key = sc_s_key
AND sc_c_key = c_key
AND s_high_school in
(''459050'',''459100'',''459150'',''459200'',''459300'',''459400'',''459500'',''459000'')
AND sc_student_type = ''CC''
AND s_instance = @instance
and sc_inst = @inst
Order by s_banner_id","sgbstdn_styp_code, sorhsch_sgbi_code, ssrsccd_sccd_code, Concurrent course Master list","sgbstdn_activity_date, sorhsch_activity_date, ssrsccd_activity_date","student.latest_student_type_code,
student_section.section_number
student_section.subject_code
student_section.course_number
term.season
add latest_high_school_code to quad.student
add budget_code to quad.course"
Budget code and student type alignment (concurrent classes has concurrent students),USHE,Failure,,SC12,SC12c,Student Course,sc_student_type,"Student Type. These students took concurrent enrollment courses, but the student is not coded CC.","INTO #sc12c
FROM student_courses_' + @extract + ', courses_' + @extract + '
WHERE sc_c_key = c_key
AND sc_instance = @instance
AND sc_student_type <> ''CC''
AND c_budget_code IN (''BC'',''SF'')
and sc_inst = @inst
Order by sc_banner_id","sgbstdn_styp_code, sorhsch_sgbi_code, ssrsccd_sccd_code, Concurrent course Master list","sgbstdn_activity_date, sorhsch_activity_date, ssrsccd_activity_date","student.latest_student_type_code,
student_section.section_number
student_section.subject_code
student_section.course_number
term.season
add latest_high_school_code to quad.student
add budget_code to quad.course"
"Budget code, student type and entry action alignment",USHE,Failure,,SC12,SC12d,Student Course,sc_student_type,Checks for concurrent students not coded as high school in students file,"INTO #sc12d
FROM student_courses_' + @extract + ', students_' + @extract + '
WHERE sc_instance = @instance
AND s_key = sc_s_key
AND sc_student_type in (''CC'', ''DC'')
AND s_reg_status != ''HS''
and sc_inst = @inst
Order by sc_banner_id","sgbstdn_styp_code, sorhsch_sgbi_code, ssrsccd_sccd_code, Concurrent course Master list","sgbstdn_activity_date, sorhsch_activity_date, ssrsccd_activity_date","student.latest_student_type_code,
student_section.section_number
student_section.subject_code
student_section.course_number
term.season
add latest_high_school_code to quad.student
add budget_code to quad.course"
Budget code and student type alignment (concurrent students in concurrent classes),USHE,Failure,,SC12,SC12e,Student Course,sc_student_type,Student Type. Budget code is for CC students only,"INTO #sc12e
FROM student_courses_' + @extract + ', courses_' + @extract + '
WHERE sc_c_key = c_key
AND sc_student_type = ''CC''
AND c_budget_code NOT IN (''BC'',''SF'')
and sc_inst = @inst
AND sc_instance = @instance
Order by sc_banner_id","sgbstdn_styp_code, sorhsch_sgbi_code, ssrsccd_sccd_code, Concurrent course Master list","sgbstdn_activity_date, sorhsch_activity_date, ssrsccd_activity_date","student.latest_student_type_code,
student_section.section_number
student_section.subject_code
student_section.course_number
term.season
add latest_high_school_code to quad.student
add budget_code to quad.course"
Budget code and student type alignement (concurrent students in concurrent classes in out-of state high schools),USHE,Failure,,SC12,SC12f,Student Course,sc_student_type,Wrong budget code for student courses outside of UT,"Into #sc12f
FROM courses_' + @extract + ', student_courses_' + @extract + ', students_' + @extract + '
Where (c_budget_code in (''BC'', ''SF'')
or sc_student_type = ''CC'')
and c_key=sc_c_key
and sc_s_key=s_key
and s_high_school not in (select distinct hs_act_code from reference.dbo.highschools where hs_state = ''UT'')
and sc_inst = @inst
and sc_instance = @instance
Order by sc_banner_id","sgbstdn_styp_code, sorhsch_sgbi_code, ssrsccd_sccd_code, Concurrent course Master list","sgbstdn_activity_date, sorhsch_activity_date, ssrsccd_activity_date","student.latest_student_type_code,
student_section.section_number
student_section.subject_code
student_section.course_number
term.season
add latest_high_school_code to quad.student
add budget_code to quad.course"
Invalid CRN,Database,Failure,,SC14,SC14a,Student Course,sc_crn,SC_CRN Invalid,"Into #sc14a
From student_courses_' + @extract + '
Where (cast(sc_crn as float) = ''''
or len(sc_crn) > ''5''
or cast(sc_crn as float) < ''0.0''
or sc_crn like ''%[^.0-9]%''
or cast(sc_crn as float) In (''00000'', ''0000'',''000'',''00'', ''0''))
and sc_instance = @instance
and sc_inst = @inst
Order by sc_crs_sbj, sc_crs_num, sc_crs_sec",banner.ssbsesct_crn,ssbsect_activity_date,student_section.course_reference_number
Missing CRN,Database,Failure,,SC14,SC14b,Student Course,sc_crn,Missing Courses Reference Number,"INTO #sc14b
FROM student_courses_' + @extract + '
WHERE sc_instance = @instance
AND sc_inst = @inst
AND(sc_crn is null or sc_crn = '''')
Order by sc_crs_sbj, sc_crs_num, sc_crs_sec",banner.ssbsesct_crn,ssbsect_activity_date,student_section.course_reference_number
"Course type, program type and course level alignement (Invalid U)",Database,Failure,,SC15,SC15b,Student Course,sc_cr_type,SC_CR_Type = U Invalid,"Into #sc15b
From student_courses_' + @extract + ' sc
join courses_' + @extract + ' c on (sc.sc_c_key = c.c_key)
Where sc_cr_type = ''U''
and c_level not in (''R'',''U'')
and sc_instance = @instance
and sc_instance = @inst
Order by sc_crs_sbj, sc_crs_num, sc_crs_sec",scrlevl_levl_code,scrlevl_acitivy_date,student_section.course_level_id
"Course type, program type and course level alignement (Invalid G)",Database,Failure,,SC15,SC15c,Student Course,sc_cr_type,SC_CR_Type = G Invalid,"Into #sc15c
From student_courses_' + @extract + ' sc
join courses_' + @extract + ' c on (sc.sc_c_key = c.c_key)
Where (sc_inst in (''3679'', ''5220'', ''5221'')
or c_level <> ''G'')
and sc_cr_type = ''G''
and sc_instance = @instance
and sc_instance = @inst
Order by sc_crs_sbj, sc_crs_num, sc_crs_sec",scrlevl_levl_code,scrlevl_acitivy_date,student_section.course_level_id
Missing Location,Database,Failure,,B02,B02a,Buildings,b_location,B_Location Missing,"Into #b02a
From buildings_ext'+@year+'
Where (b_location is null or b_location = '''')
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_loc_code,building_activity_date,"Add building_location_code, building_location_desc to quad.buildings"
Invalid Location,Database,Failure,,B02,B02b,Buildings,b_location,B_Location_Invalid,"Into #b02b
From buildings_ext'+@year+'
Where b_location not in (select distinct b_loc_code from reference.dbo.buildings_loc where inactive <> ''Y'')
and not b_location is null and not b_location = ''''
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_loc_code,building_activity_date,"Add building_location_code, building_location_desc to quad.buildings"
Missing Ownership,Database,Failure,,B03,B03a,Buildings,b_ownership,B_Ownership Missing,"Into #b03A
From buildings_ext'+@year+'
Where (b_ownership is null or b_ownership = '''')
and b_inst = @binst
Order by b_ownership, b_number",space_utlz.building_detail.bldg_own_code,building_activity_date,Add building_ownership_code to quad.buildings
Invalid Ownership,Database,Failure,,B03,B03b,Buildings,b_ownership,B_Ownership_Invalid,"Into #b03b
From buildings_ext'+@year+'
Where b_ownership not in (select distinct b_own_code from reference.dbo.buildings_own where inactive <> ''Y'')
and not b_ownership is null and not b_ownership = ''''
and b_inst = @binst
Order by b_ownership, b_number",space_utlz.building_detail.bldg_own_code,building_activity_date,Add building_ownership_code to quad.buildings
Missing Year,Database,Failure,,"B04, R02","B04a, R02a",Buildings,"b_year, r_year",B_Year missing,"Into #b04a
From buildings_ext'+@year+'
Where (b_year is null or b_year = '''')
and b_inst = @binst
Order by b_location, b_number","TO_CHAR(SYSDATE, 'YYYY')",n/a,
Missing Name,Database,Failure,,B05,B05a,Buildings,b_name,B_Name Missing,"Into #b05a
From buildings_ext'+@year+'
Where (b_name is null or b_name = '''')
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_name,building_activity_date,Add building_name to quad.buildings
Missing Number,Database,Failure,,"B06, R03","B06a, R03a",Buildings,"b_number, r_build_number",B_Number missing,"Into #b06a
From buildings_ext'+@year+'
Where b_number is null
--or b_number = '''' { Data type numeric will not accept blank by design}
and b_inst = @binst
Order by b_location, b_name",space_utlz.building_detail.bldg_number,building_activity_date,Add building_name to quad.buildings
Duplicate Number,Database,Failure,,B06,B06b,Buildings,b_number,B_Number duplicates,"Into #b06B
From buildings_ext'+@year+'
Where b_inst = @binst
Group by b_inst, b_number
Having Count (*) > 1
Order by b_number",space_utlz.building_detail.bldg_number,building_activity_date,Add building_name to quad.buildings
Missing Building Abbrv,Database,Failure,,B07,B07b,Buildings,b_sname,B_SName missing,"Into #b07a
From buildings_ext'+@year+'
Where (b_sname is null or b_sname = '''')
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_abbrv,building_activity_date,Add building_abbrv to quad.buildings
Missing Year of Construction when replacement costs are greater than 3.5 million,Database,Failure,,B08,B08a,Buildings,b_year_cons,B_Year_Cons Missing for buildings greater than 3.5 million in replacement cost,"Into #b08a
From buildings_ext'+@year+'
Where (b_year_cons is null or b_year_cons = '''')
and b_ownership = ''O''
and isnull(b_replace_cost,0) > ''3500000''
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_const_year,building_activity_date,Add building_construction_year to quad.buildings
Missing Year of Construction when replacement costs are less than 3.5 million,Database,Warning,,B08,B08b,Buildings,b_year_cons,B_Year_Cons Missing for buildings less than 3.5 million in replacement cost,"Into #b08b
From buildings_ext'+@year+'
Where (b_year_cons is null or b_year_cons = '''')
and b_ownership = ''O''
and isnull(b_replace_cost,0) <= ''3500000''
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_const_year,building_activity_date,Add building_construction_year to quad.buildings
Missing Replacement Cost,Database,Failure,,B10,B10a,Buildings,b_replace_cost,"B_Replace_Cost is NULL or blank, replacement costs are required","Into #b10a
From buildings_ext'+@year+'
Where b_replace_cost is null
-- or b_replace_cost = '''' { Data type numeric will not accept blank by design}
and b_ownership = ''O''
and b_aux = ''N''
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_cost_replacement,building_activity_date,Add building_cost_replacement to quad.buildings
Missing building condition when replacement costs are greater than 3.5 million,Database,Failure,,B11,B11a,Buildings,b_condition,Condition Miss Greater 3.5Mil,"Into #b11a
From buildings_ext'+@year+'
Where (b_condition is null or b_condition = '''')
and b_ownership = ''O''
and isnull(b_replace_cost,0) > ''3500000.00''
and b_aux = ''N''
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_condition_code,building_activity_date,"Add building_condition_code, building_condition_desc to quad.buildings"
Invalid building condition,Database,Failure,,B11,B11b,Buildings,b_condition,B_Condition_Invalid,"Into #b11B
From buildings_ext'+@year+'
Where b_condition not in (select distinct b_cond_code from reference.dbo.buildings_cond where inactive <> ''Y'')
and not b_condition is null and not b_condition = ''''
and b_inst = @binst
Order by b_condition, b_number",space_utlz.building_detail.bldg_condition_code,building_activity_date,"Add building_condition_code, building_condition_desc to quad.buildings"
Missing building condition when replacement costs are less than 3.5 mill,Database,Warning,,B11,B11c,Buildings,b_condition,B_Condition Missing where replacement cost is less than or equal to 3.5 million,"Into #b11c
From buildings_ext'+@year+'
Where (b_condition is null or b_condition = '''')
and b_ownership = ''O''
and isnull(b_replace_cost,0) <= ''3500000.00''
and b_aux = ''N''
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_condition_code,building_activity_date,"Add building_condition_code, building_condition_desc to quad.buildings"
Missing gross area,Database,Failure,,B12,B12a,Buildings,b_gross,B_Gross Missing,"Into #b12a
From buildings_ext'+@year+'
Where b_gross is null
--or b_gross = '''' { Data type numeric will not accept blank by design}
and b_ownership = ''O''
and b_aux = ''N''
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_area_gross,building_activity_date,Add building_area_gross to quad.buildings
Invalid gross area,Database,Failure,,B12,B12b,Buildings,b_gross,B_Gross Invalid,"Into #b12B
From buildings_ext'+@year+'
Where b_gross = ''0''
and b_ownership = ''O''
and b_aux = ''N''
and b_inst = @binst
Order by b_location, b_number",space_utlz.building_detail.bldg_area_gross,building_activity_date,Add building_area_gross to quad.buildings
Gross area less than sum of rooms in building,Database,Failure,,B12,B12c,Buildings,b_gross,B_Gross less than Sum of all the rooms area in the building,"Into #B12C
From Buildings_ext'+@year+' b
left join #Pro p on (b.b_inst = p.r_inst and b.b_year = p.r_year and b.b_number = p.r_build_Number)
left join #area a on (b.b_inst = a.r_inst and b.b_year = a.r_year and b.B_number = a.r_build_Number)
where (isnull(p.sum_prorated,0) + isnull(a.sum_nonpro,0)) > isnull(b.b_gross,0)
and b_ownership = ''O''
and b.b_inst = @binst
Order by b.b_number",space_utlz.building_detail.bldg_area_gross,building_activity_date,Add building_area_gross to quad.buildings
Missing risk number when replacement costs are greater than 3.5 million,Database,Failure,,B14,B14a,Buildings,b_rsknbr,B_RSKNBR required (Fatal) for owned buildings greater than 3.5 million dollars replacement cost,"Into #b14a
From buildings_ext'+@year+'
Where (b_rsknbr = '''' or b_rsknbr is null)
and b_ownership = ''O''
and b_aux = ''N''
and isnull(b_replace_cost,0) > ''3500000''
and b_inst = @binst",space_utlz.building_detail.bldg_number,building_activity_date,Add building_name to quad.buildings
Missing risk number when replacement costs are less than 3.5 million,Database,Warning,,B14,B14b,Buildings,b_rsknbr,B_RSKNBR required for owned buildings less than or equal to 3.5 million dollars replacement cost,"Into #b14b
From buildings_ext'+@year+'
Where (b_rsknbr = '''' or b_rsknbr is null)
and b_ownership = ''O''
and isnull(b_replace_cost,0) <= ''3500000''
and b_aux = ''N''
and b_inst = @binst
Order by b_inst, b_location, b_number",space_utlz.building_detail.bldg_number,building_activity_date,Add building_name to quad.buildings
Missing Auxiliary,Database,Failure,,B15,B15a,Buildings,b_aux,B_AUX values missing,"Into #b15a
From buildings_ext'+@year+'
Where (b_aux = '''' or b_aux is null)
and b_ownership = ''O''
and b_inst = @binst",space_utlz.building_detail.bldg_aux,building_activity_date,Add building_auxiliary to quad.buildings
Invalid Auxiliary,Database,Failure,,B15,B15b,Buildings,b_aux,B_AUX contain wrong values,"Into #b15b
From Loads.dbo.Buildings_ext2021
Where (b_aux <> '''' or b_aux is not null)
and b_aux not in (''A'',''N'')
and b_inst = @binst",space_utlz.building_detail.bldg_aux,building_activity_date,Add building_auxiliary to quad.buildings
Duplicate records,USHE,Failure,,,B99a,Buildings,"concat(b_inst,b_year,b_number)",Looking for duplicate b_keys,"Select ''''[B99A FTL Duplicate B_Key], b_inst, b_year, b_number, concat(b_inst,b_year,b_number) as [B_Key], Count(*) as [Duplicates]
Into #b99a
From buildings_ext'+@year+'
Where b_inst = @binst
Group by b_inst, b_year, b_number, [B_Key]
Having Count(*) > ''1''
Order by b_number",,building_activity_date,
Building must have rooms,USHE,Failure,,,B99b,Buildings,,Buildings must have rooms,"Into #b99b
From buildings_ext'+@year+' b
join rooms_ext'+@year+' r on (b.b_inst = r.r_inst and b.b_year = r.r_year and b.b_number = r.r_build_number)
where (r.r_number is null or r.r_number = '''')
and b_inst = @binst",,building_activity_date,
Room building not in building file,USHE,Failure,,R03,R03b,Rooms,r_build_number,Rooms_Build_Number not in Buildings,"Into #R03B
From Rooms_ext'+@year+' r
left join Buildings_ext'+@year+' b on (r.r_inst = b.b_inst and r.r_build_number = b.b_number)
Where r_build_number is not null
--or r_build_number = '''' {numeric type columns can not be blank}
and b.b_number is null
and r_inst = @rinst
Order by r_inst, r_year, r_build_number, r_number",space_utlz.rooms_detail.rooms_detail.bldg_abbrv,room_activity_date,Add building_id to quad.rooms
Missing room number,Database,Failure,,R04,R04a,Rooms,r_number,Rooms missing Room Numbers,"Into #R04A
From Rooms_ext'+@year+'
Where (r_number is null or r_number = '''')
and r_inst = @rinst
Order by r_build_number, r_year",space_utlz.rooms_detail.rooms_detail.bldg_abbrv,room_activity_date,Add room_number to quad.rooms
Missing Room group,Database,Failure,,R06,R06a,Rooms,r_group1,R_Group1 missing,"Into #R06A
From Rooms_ext'+@year+'
Where (r_group1 is null or r_group1 = '''')
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_group1_desc,room_activity_date,Add room_group1_code and room_group1_desc to quad.rooms
Invalid room group,Database,Failure,,R06,R06b,Rooms,r_group1,R_Group1 not in Reference table,"Into #R06B
From Rooms_ext'+@year+'
Where r_group1 not in (select distinct r_group1_code from Reference.dbo.rooms_group1 where Inactive <> ''Y'')
and not r_group1 is null and not r_group1 = ''''
and r_inst = @rinst
Order by r_build_number, r_number, r_group1",space_utlz.rooms_detail.room_group1_desc,room_activity_date,Add room_group1_code and room_group1_desc to quad.rooms
Missing room use category when r_group1 not Z,Database,Failure,,R07,R07a,Rooms,r_use_category,R_Use_Category missing,"Into #R07A
From Rooms_ext'+@year+'
Where (r_use_category is null or r_use_category = '''')
and r_group1 <> ''Z''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_use_code_group,room_activity_date,Add room_use_code_group to quad.rooms
Invalid room use category,Database,Failure,,R07,R07b,Rooms,r_use_category,R_Use_Category not in Reference table,"Into #R07B
From Rooms_ext'+@year+'
Where r_use_category not in (select distinct r_use_cat_code from Reference.dbo.rooms_use_cat where Inactive <> ''Y'')
and not r_use_category is null and not r_use_category = ''''
and r_inst = @rinst
Order by r_build_number, r_number, r_use_category",space_utlz.rooms_detail.room_use_code_group,room_activity_date,Add room_use_code_group to quad.rooms
Missing room use category when r_group1 = Z,Database,Failure,,R07,R07c,Rooms,r_use_category,R_Use_Category missing,"Into #R07C
From Rooms_ext'+@year+'
Where (r_use_category is null or r_use_category = '''')
and r_group1 = ''Z''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_use_code_group,room_activity_date,Add room_use_code_group to quad.rooms
Missing room use code,Database,Failure,,R08,R08a,Rooms,r_use_code,R_Use_Code missing,"Into #R08A
From Rooms_ext'+@year+'
Where (r_use_code is null or r_use_code = '''')
and r_group1 <> ''Z''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_use_code,room_activity_date,Add room_use_code to quad.rooms
Invalid room use code,Database,Failure,,R08,R08b,Rooms,r_use_code,R_Use_Code Unknown not in Reference table,"Into #R08B
From Rooms_ext'+@year+'
Where r_use_code not in (select distinct r_use_code from Reference.dbo.rooms_use_code where Inactive <> ''Y'')
and not r_use_code is null
and not r_use_code = ''''
and r_inst = @rinst
Order by r_build_number, r_number, r_use_code",space_utlz.rooms_detail.room_use_code,room_activity_date,Add room_use_code to quad.rooms
Invalid Room use code,Database,Failure,,R08,R08d,Rooms,r_use_code,Room Use Code 250 and 255 only for UU and USU,"Select ''''[R08D Use_Code_250 & 255], r_inst, r_build_number, r_number, r_use_code,
(Case
when r_inst in (''3675'', ''3677'') then ''Allowed''
else ''Not Allowed''
end) as Use_Code_Error
Into #R08D
From Rooms_ext'+@year+'
Where r_use_code in(''250'',''255'')
and r_inst = @rinst
Order by r_build_number, r_number, r_use_code",space_utlz.rooms_detail.room_use_code,room_activity_date,Add room_use_code to quad.rooms
